line number,Symbol,,,,,,,,,,,,macro name,standard,macro type,user 1,user 2,user 3,macro signal,x-position of group,y-position of group,width of group,height of group,target file name
2,3415-CCP01-PIO01-PI01-PDS1302-LO,,,,,,,,,,,,InOperandGenerator1,,InOperandGenerator,,,,in,0,65,650,35,duplicated
3,3415-CCP01-PIO01-PI01-PDS1302-HI,,,,,,,,,,,,InOperandGenerator2,,InOperandGenerator,,,,in,0,100,650,35,duplicated
4,3415-CCP01-PIO01-PI01-PDS1312-LO,,,,,,,,,,,,InOperandGenerator3,,InOperandGenerator,,,,in,0,135,650,35,duplicated
5,3415-CCP01-PIO01-PI01-PDS1312-HI,,,,,,,,,,,,InOperandGenerator4,,InOperandGenerator,,,,in,0,170,650,35,duplicated
6,3415-CCP01-PIO01-PSI02-SR701 FB,,,,,,,,,,,,InOperandGenerator5,,InOperandGenerator,,,,in,0,205,650,35,duplicated
7,3415-CCP01-PIO01-PSI02-SR751 FB,,,,,,,,,,,,InOperandGenerator6,,InOperandGenerator,,,,in,0,240,650,35,duplicated
8,3415-CCP01-PIO01-PSO04-XY1152-CMD,,,,,,,,,,,,InOperandGenerator7,,InOperandGenerator,,,,in,1290,65,650,35,duplicated
9,3415-CCP01-PIO01-PSO04-XY1153-CMD,,,,,,,,,,,,InOperandGenerator8,,InOperandGenerator,,,,in,1290,100,650,35,duplicated
10,3415-CCP01-PIO01-PSO04-XY1154-CMD,,,,,,,,,,,,InOperandGenerator9,,InOperandGenerator,,,,in,1290,135,650,35,duplicated
11,3415-CCP01-PIO01-PSO04-XY1155-CMD,,,,,,,,,,,,InOperandGenerator10,,InOperandGenerator,,,,in,1290,170,650,35,duplicated
12,3415-CCP01-PIO01-PSO04-XY1156-CMD,,,,,,,,,,,,InOperandGenerator11,,InOperandGenerator,,,,in,1290,205,650,35,duplicated
13,3415-CCP01-PIO01-PSO04-XY1157-CMD,,,,,,,,,,,,InOperandGenerator12,,InOperandGenerator,,,,in,1290,240,650,35,duplicated
14,3415-CCP01-PIO01-PSO04-XY1160-CMD,,,,,,,,,,,,InOperandGenerator13,,InOperandGenerator,,,,in,1290,275,650,35,duplicated
15,3415-CCP01-PIO01-PSO04-XY1161-CMD,,,,,,,,,,,,InOperandGenerator14,,InOperandGenerator,,,,in,1290,310,650,35,duplicated
16,3415-CCP01-PIO01-PSO04-XY1162-CMD,,,,,,,,,,,,InOperandGenerator15,,InOperandGenerator,,,,in,1290,345,650,35,duplicated
17,3415-CCP01-PIO01-PSO04-XY1163-CMD,,,,,,,,,,,,InOperandGenerator16,,InOperandGenerator,,,,in,1290,380,650,35,duplicated
18,3415-CCP01-PIO01-PSO04-CR1167-ENCMD,,,,,,,,,,,,InOperandGenerator17,,InOperandGenerator,,,,in,1290,415,650,35,duplicated
19,3415-CCP01-PIO01-PSO03-SR701-CH1CMD,,,,,,,,,,,,InOperandGenerator18,,InOperandGenerator,,,,in,1290,450,650,35,duplicated
20,3415-CCP01-PIO01-PSO03-SR701-CH2CMD,,,,,,,,,,,,InOperandGenerator19,,InOperandGenerator,,,,in,1290,485,650,35,duplicated
21,3415-CCP01-PIO01-PSO03-SR751-CH1CMD,,,,,,,,,,,,InOperandGenerator20,,InOperandGenerator,,,,in,1290,520,650,35,duplicated
22,3415-CCP01-PIO01-PSO03-SR751-CH2CMD,,,,,,,,,,,,InOperandGenerator21,,InOperandGenerator,,,,in,1290,555,650,35,duplicated
23,3415-HCP01-PIO01-PO08-XY2152-CMD,,,,,,,,,,,,InOperandGenerator22,,InOperandGenerator,,,,in,1290,590,650,35,duplicated
24,3415-HCP01-PIO01-PO08-XY2153-CMD,,,,,,,,,,,,InOperandGenerator23,,InOperandGenerator,,,,in,1290,625,650,35,duplicated
