line number,Symbol,,,,,,,,,,,,macro name,standard,macro type,user 1,user 2,user 3,macro signal,x-position of group,y-position of group,width of group,height of group,target file name
2,s100InWorkpiecePresent,,,,,,,,,,,,InOperandGenerator1,,InOperandGenerator,,,,in,0,65,650,35,duplicated
3,s101PusherPositionLeft,,,,,,,,,,,,InOperandGenerator2,,InOperandGenerator,,,,in,0,100,650,35,duplicated
4,s102PusherPositionRight,,,,,,,,,,,,InOperandGenerator3,,InOperandGenerator,,,,in,0,135,650,35,duplicated
5,s103Lifter1PositionDown,,,,,,,,,,,,InOperandGenerator4,,InOperandGenerator,,,,in,0,170,650,35,duplicated
6,s104Lifter1PositionUp,,,,,,,,,,,,InOperandGenerator5,,InOperandGenerator,,,,in,0,205,650,35,duplicated
7,s105Lifter2PositionDown,,,,,,,,,,,,InOperandGenerator6,,InOperandGenerator,,,,in,0,240,650,35,duplicated
8,s106Lifter2PositionUp,,,,,,,,,,,,InOperandGenerator7,,InOperandGenerator,,,,in,0,275,650,35,duplicated
9,b107Lifter2ToolAtPos,,,,,,,,,,,,InOperandGenerator8,,InOperandGenerator,,,,in,0,310,650,35,duplicated
10,s110Lifter3PositionFront,,,,,,,,,,,,InOperandGenerator9,,InOperandGenerator,,,,in,0,345,650,35,duplicated
11,s111Lifter3PositionBack,,,,,,,,,,,,InOperandGenerator10,,InOperandGenerator,,,,in,0,380,650,35,duplicated
12,s112Lifter3PositionDown,,,,,,,,,,,,InOperandGenerator11,,InOperandGenerator,,,,in,0,415,650,35,duplicated
13,s113Lifter3PositionUp,,,,,,,,,,,,InOperandGenerator12,,InOperandGenerator,,,,in,0,450,650,35,duplicated
14,b114ConvBelt1PartPresent,,,,,,,,,,,,InOperandGenerator13,,InOperandGenerator,,,,in,0,485,650,35,duplicated
15,b115ConvBelt2PartPresent,,,,,,,,,,,,InOperandGenerator14,,InOperandGenerator,,,,in,0,520,650,35,duplicated
16,b116ConvBelt3PartPresent,,,,,,,,,,,,InOperandGenerator15,,InOperandGenerator,,,,in,0,555,650,35,duplicated
17,b117LightSensInputStat,,,,,,,,,,,,InOperandGenerator16,,InOperandGenerator,,,,in,0,590,650,35,duplicated
18,b120LightSensOutputStat,,,,,,,,,,,,InOperandGenerator17,,InOperandGenerator,,,,in,0,625,650,35,duplicated
19,m100PusherToLeft,,,,,,,,,,,,InOperandGenerator18,,InOperandGenerator,,,,in,1290,65,650,35,duplicated
20,m101PusherToRight,,,,,,,,,,,,InOperandGenerator19,,InOperandGenerator,,,,in,1290,100,650,35,duplicated
21,m102ConveyorBelt1,,,,,,,,,,,,InOperandGenerator20,,InOperandGenerator,,,,in,1290,135,650,35,duplicated
22,m110ConveyorBelt2,,,,,,,,,,,,InOperandGenerator21,,InOperandGenerator,,,,in,1290,170,650,35,duplicated
23,m120ConveyorBelt3,,,,,,,,,,,,InOperandGenerator22,,InOperandGenerator,,,,in,1290,205,650,35,duplicated
24,m104Lifter1Up,,,,,,,,,,,,InOperandGenerator23,,InOperandGenerator,,,,in,1290,240,650,35,duplicated
25,m103Lifter1Down,,,,,,,,,,,,InOperandGenerator24,,InOperandGenerator,,,,in,1290,275,650,35,duplicated
26,m105Lifter1ToolDrive,,,,,,,,,,,,InOperandGenerator25,,InOperandGenerator,,,,in,1290,310,650,35,duplicated
27,m111Lifter2Down,,,,,,,,,,,,InOperandGenerator26,,InOperandGenerator,,,,in,1290,345,650,35,duplicated
28,m112Lifter2Up,,,,,,,,,,,,InOperandGenerator27,,InOperandGenerator,,,,in,1290,380,650,35,duplicated
29,m113Lifter2ToolDrive,,,,,,,,,,,,InOperandGenerator28,,InOperandGenerator,,,,in,1290,415,650,35,duplicated
30,m114Lifter2ToolChange,,,,,,,,,,,,InOperandGenerator29,,InOperandGenerator,,,,in,1290,450,650,35,duplicated
31,m121Lifter3Back,,,,,,,,,,,,InOperandGenerator30,,InOperandGenerator,,,,in,1290,485,650,35,duplicated
32,m122Lifter3Front,,,,,,,,,,,,InOperandGenerator31,,InOperandGenerator,,,,in,1290,520,650,35,duplicated
33,m123Lifter3Down,,,,,,,,,,,,InOperandGenerator32,,InOperandGenerator,,,,in,1290,555,650,35,duplicated
34,m124Lifter3Up,,,,,,,,,,,,InOperandGenerator33,,InOperandGenerator,,,,in,1290,590,650,35,duplicated
35,m125Lifter3ToolDrive,,,,,,,,,,,,InOperandGenerator34,,InOperandGenerator,,,,in,1290,625,650,35,duplicated
