line number,Symbol,,,,,,,,,,,,macro name,standard,macro type,user 1,user 2,user 3,macro signal,x-position of group,y-position of group,width of group,height of group,target file name
2,3415-HCP01-PIO01-PI09-PSW2202,,,,,,,,,,,,InOperandGenerator1,,InOperandGenerator,,,,in,0,65,650,35,duplicated
3,3415-HCP01-PIO01-PSI10-SR1401-1-FB,,,,,,,,,,,,InOperandGenerator2,,InOperandGenerator,,,,in,0,100,650,35,duplicated
4,3415-HCP01-PIO01-PSI10-SR1451-1-FB,,,,,,,,,,,,InOperandGenerator3,,InOperandGenerator,,,,in,0,135,650,35,duplicated
5,ST3415-EUO1-PBL04,,,,,,,,,,,,InOperandGenerator4,,InOperandGenerator,,,,in,0,170,650,35,duplicated
6,ST3415-EUO2-PBL04,,,,,,,,,,,,InOperandGenerator5,,InOperandGenerator,,,,in,0,205,650,35,duplicated
7,ST3415-EUO1-ES01,,,,,,,,,,,,InOperandGenerator6,,InOperandGenerator,,,,in,0,240,650,35,duplicated
8,ST3415-EUO1-ES02,,,,,,,,,,,,InOperandGenerator7,,InOperandGenerator,,,,in,0,275,650,35,duplicated
9,ST3415-EUO2-ES01,,,,,,,,,,,,InOperandGenerator8,,InOperandGenerator,,,,in,0,310,650,35,duplicated
10,ST3415-EUO2-ES02,,,,,,,,,,,,InOperandGenerator9,,InOperandGenerator,,,,in,0,345,650,35,duplicated
11,eemProfileE3,,,,,,,,,,,,InOperandGenerator10,,InOperandGenerator,,,,in,0,380,650,35,duplicated
12,modelIn16,,,,,,,,,,,,InOperandGenerator11,,InOperandGenerator,,,,in,0,415,650,35,duplicated
13,ST3415-EUO1-PBL04,,,,,,,,,,,,InOperandGenerator12,,InOperandGenerator,,,,in,0,450,650,35,duplicated
14,ST3415-EUO2-PBL04,,,,,,,,,,,,InOperandGenerator13,,InOperandGenerator,,,,in,0,485,650,35,duplicated
15,ST3415-EUO1-ES01,,,,,,,,,,,,InOperandGenerator14,,InOperandGenerator,,,,in,0,520,650,35,duplicated
16,ST3415-EUO1-ES02,,,,,,,,,,,,InOperandGenerator15,,InOperandGenerator,,,,in,0,555,650,35,duplicated
17,ST3415-EUO2-ES01,,,,,,,,,,,,InOperandGenerator16,,InOperandGenerator,,,,in,0,590,650,35,duplicated
18,ST3415-EUO2-ES02,,,,,,,,,,,,InOperandGenerator17,,InOperandGenerator,,,,in,0,625,650,35,duplicated
19,3415-HCP01-PIO01-PSO11-SR1401-1-CH1CMD,,,,,,,,,,,,InOperandGenerator18,,InOperandGenerator,,,,in,1290,65,650,35,duplicated
20,3415-HCP01-PIO01-PSO11-SR1401-1-CH2CMD,,,,,,,,,,,,InOperandGenerator19,,InOperandGenerator,,,,in,1290,100,650,35,duplicated
21,3415-HCP01-PIO01-PSO11-SR1451-1-CH1CMD,,,,,,,,,,,,InOperandGenerator20,,InOperandGenerator,,,,in,1290,135,650,35,duplicated
22,3415-HCP01-PIO01-PSO11-SR1451-1-CH2CMD,,,,,,,,,,,,InOperandGenerator21,,InOperandGenerator,,,,in,1290,170,650,35,duplicated
23,ST3415-EU01-LT01,,,,,,,,,,,,InOperandGenerator22,,InOperandGenerator,,,,in,1290,205,650,35,duplicated
24,ST3415-EU02-LT01,,,,,,,,,,,,InOperandGenerator23,,InOperandGenerator,,,,in,1290,240,650,35,duplicated
25,energyMeter1MeasPoint1,,,,,,,,,,,,InOperandGenerator24,,InOperandGenerator,,,,in,1290,275,650,35,duplicated
26,energyMeter2MeasPoint2,,,,,,,,,,,,InOperandGenerator25,,InOperandGenerator,,,,in,1290,310,650,35,duplicated
27,modelOut16,,,,,,,,,,,,InOperandGenerator26,,InOperandGenerator,,,,in,1290,345,650,35,duplicated
28,ST3415-EU01-LT01,,,,,,,,,,,,InOperandGenerator27,,InOperandGenerator,,,,in,1290,380,650,35,duplicated
29,ST3415-EU02-LT01,,,,,,,,,,,,InOperandGenerator28,,InOperandGenerator,,,,in,1290,415,650,35,duplicated
