line number,Symbol,,,,,,,,,,,,macro name,standard,macro type,user 1,user 2,user 3,macro signal,x-position of group,y-position of group,width of group,height of group,target file name
2,3415-HCP01-PIO01-PI01-ISB902-PX902,,,,,,,,,,,,InOperandGenerator1,,InOperandGenerator,,,,in,0,65,650,35,duplicated
3,3415-HCP01-PIO01-PI01-ISB902-PX904,,,,,,,,,,,,InOperandGenerator2,,InOperandGenerator,,,,in,0,100,650,35,duplicated
4,3415-HCP01-PIO01-PI01-ISB912-PX912,,,,,,,,,,,,InOperandGenerator3,,InOperandGenerator,,,,in,0,135,650,35,duplicated
5,3415-HCP01-PIO01-PI01-FSW1810-HI,,,,,,,,,,,,InOperandGenerator4,,InOperandGenerator,,,,in,0,170,650,35,duplicated
6,3415-HCP01-PIO01-PI01-FSW1810-LO,,,,,,,,,,,,InOperandGenerator5,,InOperandGenerator,,,,in,0,205,650,35,duplicated
7,3415-HCP01-PIO01-PI01-FSW1812-HI,,,,,,,,,,,,InOperandGenerator6,,InOperandGenerator,,,,in,0,240,650,35,duplicated
8,3415-HCP01-PIO01-PI01-FSW1812-LO,,,,,,,,,,,,InOperandGenerator7,,InOperandGenerator,,,,in,0,275,650,35,duplicated
9,3415-HCP01-PIO01-PI01-FSW1814-HI,,,,,,,,,,,,InOperandGenerator8,,InOperandGenerator,,,,in,0,310,650,35,duplicated
10,3415-HCP01-PIO01-PI01-FSW1814-LO,,,,,,,,,,,,InOperandGenerator9,,InOperandGenerator,,,,in,0,345,650,35,duplicated
11,3415-HCP01-PIO01-PI02-PSW1858-FB,,,,,,,,,,,,InOperandGenerator10,,InOperandGenerator,,,,in,0,380,650,35,duplicated
12,3415-HCP01-PIO01-PI03-XHF1106-SHTCKT,,,,,,,,,,,,InOperandGenerator11,,InOperandGenerator,,,,in,0,415,650,35,duplicated
13,3415-HCP01-PIO01-PI03-XHF1106-OPNCKT,,,,,,,,,,,,InOperandGenerator12,,InOperandGenerator,,,,in,0,450,650,35,duplicated
